numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista
8,Jean Berry,Gregory Gould,NLUX93496216176463,4,0.3501754325,0.0,2007-07-02T00:00:00,102,208980.0,300000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9433962264150944,0.0566037735849056,0.0,300000.0,2020-02-05T19:14:37,2019-09-30T03:00:00,17801610.0,2538069.0,19415777.0,7519758.0,0.0,3742963.0,11902384.0,11958227.0,9357949.0,9.0,0.0,2000.0,Acima de 17 anos,120000.0,False,False,1.0,768233.0,2020-02-05T20:05:40
109,Francis Hunter,Judith Roberts,VTBP28229782439478,4,0.2813948662,0.0,2016-01-06T00:00:00,51,54801.51,150000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9433962264150944,0.0566037735849056,0.0,150000.0,2020-02-05T19:14:37,2018-12-31T02:00:00,33581314.0,1922318.0,36377344.0,34440755.0,0.0,8475109.0,0.0,24551233.0,1077555.0,12.0,18293841.0,1992.0,Acima de 17 anos,1000000.0,False,False,1.0,2567932.0,2020-02-07T13:11:12
152,Dr. Eleanor Cook,Mrs. Ellie Thornton,DIRV93268688469655,0,0.5304287158,0.0,2016-07-13T00:00:00,0,0.0,60000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9622641509433962,0.0377358490566037,0.0,60000.0,2020-02-05T19:14:37,2018-12-31T02:00:00,12281949.0,564957.0,14438808.0,13841257.0,0.0,1678196.0,3240605.0,10087739.0,885300.0,12.0,9359816.0,1971.0,Acima de 17 anos,648000.0,False,False,1.0,1592014.0,2020-02-07T19:39:59
169,Charlene Shah-Walters,Ms. Rosie Schofield,BQXB59008754216814,4,0.5446530761,0.0,2019-04-18T00:00:00,18,31966.66,150000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9056603773584904,0.0943396226415094,0.0,100000.0,2020-02-05T19:14:37,2019-12-31T03:00:00,185236.0,257772.0,1012223.0,1012223.0,0.0,195257.0,478523.0,3652617.0,907622.0,12.0,1712437.0,2000.0,Acima de 17 anos,1002000.0,False,False,1.0,2110812.0,2020-02-07T19:59:08
175,Sean Cox-Parsons,Lynne Alexander-Hill,AZWG08314036490509,3,0.4389350443,0.0,2017-07-31T00:00:00,0,42879.29,60000.0,AprovadoComite,De 0 a 10 % - Muito Baixo,0.9433962264150944,0.0566037735849056,0.0,60000.0,2020-02-12T17:19:55,2018-12-31T02:00:00,23773568.0,13851725.0,24093560.0,10153690.0,0.0,8475429.0,11860590.0,61496930.0,14216920.0,12.0,47280010.0,1993.0,Acima de 17 anos,100000.0,False,False,1.0,231400.0,2020-02-03T20:57:33
671,Ashley Edwards,Colin Butcher,ZYTZ74379794301453,11,0.6577985206,0.0,2018-04-17T00:00:00,38,40887.77,150000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9622641509433962,0.0377358490566037,0.0267549796789839,150000.0,2020-02-05T19:14:37,2019-06-30T03:00:00,92383894.0,33115677.0,96091171.0,56121408.0,0.0,35828883.0,48395967.0,68644820.0,10790598.0,6.0,57854222.0,1991.0,Acima de 17 anos,15000000.0,False,False,1.0,24269849.0,2020-02-27T17:06:36
768,Dr. Karl Webster,Harry Robinson,CQFL28442892468834,8,0.4523612213,0.0,2007-08-29T00:00:00,41,767078.27,530000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9433962264150944,0.0566037735849056,-0.89895028654329,530000.0,2020-02-05T19:14:37,2019-08-31T03:00:00,21950841.0,10538518.0,23345038.0,6257403.0,0.0,5126222.0,10479806.0,25038845.0,12392520.0,8.0,12646325.0,1990.0,Acima de 17 anos,260000.0,False,False,0.9370702299,152000.0,2020-03-02T19:18:16
809,Dr. Eleanor Cook,Mrs. Ellie Thornton,DIRV93268688469655,0,0.5304287158,0.0,2016-07-13T00:00:00,0,0.0,50000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9622641509433962,0.0377358490566037,0.0,50000.0,2020-02-05T19:14:37,2018-12-31T02:00:00,12281949.0,564957.0,14438808.0,13841257.0,0.0,1678196.0,3240605.0,10087739.0,885300.0,12.0,9359816.0,1971.0,Acima de 17 anos,648000.0,False,False,1.0,1592014.0,2020-03-02T21:33:18
839,Stewart Smith,Ms. Carol Stevenson,LMYX91816699890771,5,0.6010166008,0.0,2014-02-18T00:00:00,0,0.0,250000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9622641509433962,0.0377358490566037,-0.866025405082641,250000.0,2020-02-05T19:14:37,2019-06-30T03:00:00,302940712.0,71429859.0,323196268.0,244009083.0,0.0,83139347.0,173569004.0,709069792.0,181151516.0,6.0,527918276.0,2004.0,De 11 a 16 anos,19000000.0,False,False,0.9999999763,2004.0,2020-03-04T16:43:04
863,Danielle Middleton,Ms. Sophie Perry,NELW58002256713089,4,0.382102052,0.0,2016-11-04T00:00:00,19,36736.13,180000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9622641509433962,0.0377358490566037,0.866025403784439,180000.0,2020-02-05T19:14:37,2019-12-31T06:00:00,63220976.0,61466010.0,64437727.0,1376433.0,0.0,20544058.0,30510478.0,200771296.0,25666292.0,12.0,164033672.0,1984.0,Acima de 17 anos,350000.0,False,False,1.0,19345624.0,2020-03-04T17:36:27
940,Mr. Reece Davies,Antony Walsh,IHXJ81732847047007,53,0.2648957305,0.0,2009-04-08T00:00:00,8,33420.0,100000.0,AprovadoComite,De 0 a 10 % - Muito Baixo,0.9056603773584904,0.0943396226415094,-0.866025403784439,100000.0,2020-03-06T11:52:14,2019-12-31T03:00:00,22187992.0,2959093.0,24618228.0,22561000.0,0.0,11583309.0,7778000.0,9139060.0,3039309.0,12.0,6099751.0,2000.0,Acima de 17 anos,450000.0,False,False,0.25,1701032.0,2020-02-03T20:57:33
972,Martin Stevenson,Dylan Fox,RHIK25779763492499,19,0.5686864914,0.0,2018-12-20T00:00:00,54,820167.46,300000.0,AprovadoComite,De 0 a 10 % - Muito Baixo,0.9622641509433962,0.0377358490566037,0.866025403784439,300000.0,2020-03-09T13:20:51,2018-12-31T02:00:00,335518617.0,298912244.0,442789173.0,143876928.0,0.0,133068644.0,132947249.0,1414468218.0,376278418.0,12.0,1038189800.0,1994.0,Acima de 17 anos,10000000.0,False,False,1.0,0.0,2020-02-03T20:57:33
1047,Dr. Karl Webster,Harry Robinson,CQFL28442892468834,8,0.4523612213,0.0,2007-08-29T00:00:00,41,767078.27,700000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9433962264150944,0.0566037735849056,-0.89895028654329,700000.0,2020-02-05T19:14:37,2019-08-31T03:00:00,21950841.0,10538518.0,23345038.0,6257403.0,0.0,5126222.0,10479806.0,25038845.0,12392520.0,8.0,12646325.0,1990.0,Acima de 17 anos,260000.0,False,False,0.9370702299,152000.0,2020-03-10T19:07:24
1083,Janet Cooper-Smith,Fiona Noble,JLOI58063075571788,168,0.4298119122,0.0,2007-01-11T00:00:00,74,23868.8,200000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9056603773584904,0.0943396226415094,-0.866025403784439,200000.0,2020-02-05T19:14:37,2018-12-31T02:00:00,17043000.0,6865000.0,19250000.0,12386000.0,0.0,5993000.0,7640000.0,36833000.0,11389000.0,12.0,25444000.0,2000.0,Acima de 17 anos,11011313.0,False,False,0.8324439607,1018500.0,2020-03-10T19:19:51
1137,Sean Morley,Robin Thomas-Hewitt,JBWE58432974516641,19,0.0,0.0,2011-05-12T15:05:43,0,0.0,75000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9056603773584904,0.0943396226415094,-0.640427866729805,75000.0,2020-02-05T19:14:37,2018-12-31T02:00:00,4306396.0,679939.0,8517825.0,7398391.0,0.0,3912966.0,1690226.0,12525274.0,5022263.0,12.0,7503011.0,1996.0,Acima de 17 anos,100000.0,False,False,0.0,237015.0,2020-03-12T18:15:32
1144,Glenn Preston,Laura Barlow,SWWZ39160474909481,31,0.2559469612,0.0,2006-07-18T00:00:00,0,0.0,150000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9056603773584904,0.0943396226415094,0.0,150000.0,2020-02-05T19:14:37,2018-12-31T02:00:00,6126301.0,2000162.0,7281889.0,5281727.0,0.0,3695255.0,1299377.0,24993836.0,0.0,12.0,0.0,2000.0,Acima de 17 anos,500000.0,False,False,1.0,178000.0,2020-03-12T18:49:15
1223,Marian Chamberlain,Louis King,OKDF71803004004883,3,0.4286615174,0.0,2016-12-29T00:00:00,0,0.0,110000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9433962264150944,0.0566037735849056,0.866025403784439,110000.0,2020-02-05T19:14:37,2019-12-31T03:00:00,4629174.0,3749913.0,6973344.0,3223422.0,0.0,0.0,4553975.0,15175917.0,5009305.0,12.0,10166612.0,2004.0,De 11 a 16 anos,20000.0,False,False,1.0,121250.0,2020-03-16T13:22:48
1279,Ricky Kelly,Anne Welch-Campbell,OPNI24346853582080,5,0.0,0.0,2019-01-29T14:11:28,0,0.0,180000.0,AprovadoComite,De 0 a 10 % - Muito Baixo,0.9622641509433962,0.0377358490566037,0.0,180000.0,2020-03-16T20:07:50,2019-12-31T03:00:00,10783205.0,4224816.0,16782927.0,3675549.0,0.0,5704006.0,4964014.0,33505605.0,10966850.0,12.0,22538755.0,2012.0,De 6 a 10 anos,40000.0,False,False,0.0,600000.0,2020-02-03T20:57:33
1308,Danny Murphy,Lucy Rahman,KZEQ93607659988542,3,0.3418487932,0.0,2015-02-05T00:00:00,0,52649.1,160000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9433962264150944,0.0566037735849056,0.0,160000.0,2020-02-05T19:14:37,2018-11-30T02:00:00,8504935.0,2821778.0,8971185.0,1587622.0,0.0,4283323.0,2773342.0,18866297.0,7630338.0,11.0,11235959.0,2014.0,De 6 a 10 anos,500000.0,False,False,1.0,107500.0,2020-03-17T20:40:51
1344,Francis Hall,Michelle Bailey,VRHM81767454396247,43,0.0,0.0,2016-04-19T15:18:28,0,0.0,180000.0,AprovadoComite,De 0 a 10 % - Muito Baixo,0.9433962264150944,0.0566037735849056,-0.866025403784439,180000.0,2020-03-17T20:05:59,2018-12-31T02:00:00,4565815.0,337703.0,5841069.0,5503365.0,0.0,2411864.0,522761.0,11411386.0,4073602.0,12.0,7337784.0,1981.0,Acima de 17 anos,200000.0,False,False,0.0,1021603.0,2020-02-03T20:57:33
1350,Jonathan Wilson,Jordan Stevens,TPCC73510080166076,4,0.4698549008,0.0,2015-03-03T00:00:00,83,17107.18,55000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9245283018867924,0.0754716981132075,0.0,55000.0,2020-02-05T19:14:37,2019-12-31T03:00:00,1081739.0,1466507.0,1488698.0,1143216.0,0.0,205395.0,528757.0,3077900.0,709098.0,12.0,2638802.0,2013.0,De 6 a 10 anos,200000.0,False,False,1.0,163759.0,2020-03-18T15:25:16
